x y
1.32 1.15
6.16 0.04
5.95 0.16
4.67 0.8
0.26 0.58
5.6 0.53
2.66 0.38
1.68 0.65
0.06 0.24
2.71 0.23
6.13 0.59
5.15 0.77
4.82 0.87
4.46 0.81
2.36 0.63
4.48 1.15
1.45 1.06
3.77 0.33
0.31 0.38
3.96 0.77
2.34 0.46
6.19 -0.02
3.85 0.61
0.46 0.47
6.27 0.01
0.09 0.06
1.43 0.92
1.55 1.08
3.64 0.36
1.16 1.15
5.63 0.51
1.23 1.08
2.26 0.83
6.28 -0.19
3.21 0.26
2.58 0.61
2.35 0.74
0.71 0.38
4.65 0.86
1.23 0.87
5.68 0.62
4.45 0.84
2.16 0.91
5.31 0.48
5.45 0.79
1.11 0.62
1.99 0.77
3.84 0.75
2.72 0
4.44 0.89
3.16 -0.06
1.68 1.01
2.89 0.12
6.2 -0.02
4.7 0.79
1.12 0.63
2.04 0.71
3.67 0.72
4.1 0.82
4.1 1.01
1.87 1.31
3.27 0.48
5.34 0.67
0.44 0.41
3.03 0.11
2.25 0.8
1.97 1.17
2.41 0.51
3.76 0.59
1.51 0.98
5.66 0.77
4.63 0.68
6.18 0.34
0.54 0.46
