x y
3.881 -0.113
-1.556 1.45
-3.604 1.06
-3.078 -1.115
0.336 1.347
1.469 1.798
-3.128 1.201
-2.3 0.47
1.093 -0.363
0.271 1.771
-0.64 -0.521
1.321 0.89
-1.825 0.86
-0.245 2.48
-1.186 -0.829
1.17 -0.198
0.245 2.935
-0.891 -2.125
-1.104 -0.841
-1.688 -0.737
0.974 0.461
-0.229 -0.717
-0.563 1.015
-0.303 -0.915
-1.125 1.13
-10.182 -0.357
-0.33 1.265
1.511 -0.696
0.273 -4.909
0.36 -1.69
0.801 -1.23
-6.343 -1.153
-0.519 0.739
-0.065 1.168
0.763 1.755
-0.251 1.785
-2.294 -1.016
-0.162 1.405
2.494 0.964
0.158 1.373
2.303 0.9
-0.067 2.671
1.111 1.804
1.654 -0.113
0.03 1.45
3.9 1.06
0.033 -1.115
-0.175 1.347
0.179 1.798
-1.491 1.201
3.185 0.47
